Car Company,Car Model,Style Name,Year,Mileage,Transmission Type,Engine,Fuel Type,Body Type,Price,Link
Volkswagen,Jetta,1.8T SE Sedan Auto (PZEV),2014,58135,Automatic,1.8L Inline-4 Gas Turbocharged,Gas,Sedan,9000.0,https://www.truecar.com/used-cars-for-sale/listing/3VWD17AJ1EM327927
Chevrolet,Equinox,LT with 2FL FWD,2019,34602,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,18888.0,https://www.truecar.com/used-cars-for-sale/listing/3GNAXJEV8KS616316
Nissan,Altima,2.5 S FWD,2020,59434,Automatic,2.5L Inline-4 Gas,Gas,Sedan,17097.0,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV8LC237473
Hyundai,Elantra,SEL 2.0L IVT,2020,58722,Automatic,2.0L Inline-4 Gas,Gas,Sedan,16545.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF2LH575497
Nissan,Sentra,S CVT,2019,104565,Automatic,1.8L Inline-4 Gas,Gas,Sedan,9799.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3KY243395
Ford,Bronco Sport,Big Bend,2021,30277,Automatic,1.5L Inline-3 Gas Turbocharged,Gas,SUV,19999.0,https://www.truecar.com/used-cars-for-sale/listing/3FMCR9B61MRA83951
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,109595,Automatic,5.0L V-8 Gas,Gas,Pickup Truck,22638.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E52JKC57004
Nissan,Sentra,SV CVT,2019,59095,Automatic,1.8L Inline-4 Gas,Gas,Sedan,14512.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP9KY448462
Chevrolet,Equinox,LT with 2FL FWD,2020,25643,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,20688.0,https://www.truecar.com/used-cars-for-sale/listing/3GNAXJEV4LS653011
Nissan,Altima,2.5 S FWD,2020,60583,Automatic,2.5L Inline-4 Gas,Gas,Sedan,19591.0,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7LC208160
BMW,3 Series,330i RWD,2020,60616,Automatic,2.0L Inline-4 Gas Turbocharged,Gas,Sedan,23927.0,https://www.truecar.com/used-cars-for-sale/listing/3MW5R1J00L8B07153
Chevrolet,Malibu,LT with 1LT,2016,89199,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,11862.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZE5ST8GF241110
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,48003,Automatic,5.0L V-8 Gas,Gas,Pickup Truck,34028.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E55KFB05230
Chevrolet,Malibu,LT,2020,39349,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,17991.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5STXLF003093
Honda,CR-V,EX AWD,2018,155549,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,14999.0,https://www.truecar.com/used-cars-for-sale/listing/2HKRW2H50JH608848
Toyota,Corolla,LE CVT,2020,68596,Automatic,1.8L Inline-4 Gas,Gas,Sedan,16757.0,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAE1LJ101448
Ford,F-150,XL SuperCrew 6.5' Box RWD,2016,68002,Automatic,5.0L V-8 Gas Turbocharged,Gas,Pickup Truck,22785.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1CF6GFA15426
Chevrolet,Malibu,LT,2020,67081,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,18524.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST3LF037179
Ford,F-150,XLT SuperCrew 6.5' Box 4WD,2020,161483,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,22000.0,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1E45LFA29361
Ford,F-150,XLT SuperCrew 6.5' Box 4WD,2018,174992,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,16997.0,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EG0JFA33096
Chevrolet,Malibu,LT,2020,48774,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,19715.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST1LF089202
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,62923,Automatic,2.7L V-6 Gas Turbocharged,Gas,Pickup Truck,30848.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EP8LKD99278
Kia,Optima,LX Automatic,2020,29433,Automatic,2.4L Inline-4 Gas,Gas,Sedan,18900.0,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L38LG436357
Nissan,Sentra,SV CVT,2019,60919,Automatic,1.8L Inline-4 Gas,Gas,Sedan,15000.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP2KY431390
Chevrolet,Equinox,LT with 1LT FWD,2018,174695,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,8995.0,https://www.truecar.com/used-cars-for-sale/listing/2GNAXJEV7J6329062
